objective,explanation,lecture_id,include,category,exam,system
Describe the components of the temporomandibular joint and their functional role,,Y2S2,n,,,
Identify the branches of the maxillary artery in the infratemporal fossa,,Y2S2,n,,,
Explain the function of the branches of the mandibular division of the trigeminal nerve (V3),,Y2S2,n,,,
Understand the anatomical reference planes relating to the brain and spinal cord,,Y2S2,n,,,
"Identify the lobes of the cerebrum, and key sulci that divide the lobes",,Y2S2,n,,,
Understand the concept of localization of function as it relates to the anatomy of the cerebral cortex organised as lobes,,Y2S2,n,,,
"Demonstrate the location of the primary motor cortex, frontal eye fields, supplementary and pre-motor areas",,Y2S2,n,,,
Demonstrate the location of the primary somatosensory cortex,,Y2S2,n,,,
Demonstrate the location of the primary auditory cortex,,Y2S2,n,,,
Demonstrate the location of the primary visual cortex,,Y2S2,n,,,
Identify the gross anatomical features of the spinal cord and meningeal layers,,Y2S2,n,,,
Demonstrate where the spinal cord terminates,,Y2S2,n,,,
Describe the corticospinal (motor) neuroanatomical pathway,,Y2S2,n,,,
Describe the dorsal column medial lemniscus pathway (light touch and proprioception),,Y2S2,n,,,
Describe the spinothalamic tract (pain and temperature),,Y2S2,n,,,
Relate the neuroanatomy of the major pathways to surface anatomical features of the brain stem and spinal cord,,Y2S2,n,,,
Understand the neuroanatomy underlying altered reflexes as a result of injury to either upper or lower motor neurons,,Y2S2,n,,,
Understand the components and organisation of the MSE,,Y2S2,n,,,
Define the phenomena recorded in the MSE,,Y2S2,n,,,
Begin to recognise and label and report observed MSE phenomena,,Y2S2,n,,,
Conduct and report or observe and report the findings of a MSE (including cognition) from an interview or an observed interview at a basic level,,Y2S2,n,,,
Understand what is meant by cognitive testing and the factors influencing it,,Y2S2,n,,,
Understand the principles of screening as opposed to testing for cognitive impairment,,Y2S2,n,,,
Know the components of the MMSE and its limitations,,Y2S2,n,,,
Practice cognitive testing in future tutorials and clinical situations,,Y2S2,n,,,
Understand how the Mental State Examination contributes to a diagnosis,,Y2S2,n,,,
Understand that the location(s) of a neuron(s) is established due to fate specification during development,,Y2S2,n,,,
Construct a framework to enable identification of cranial nerve nuclei depending on their function,,Y2S2,n,,,
Compare and contrast the different types of neurons that travel in spinal nerves with the types of neurons that travel in cranial nerves,,Y2S2,n,,,
Identify the cranial nerves as they emerge from the brainstem,,Y2S2,n,,,
Identify anatomical structures important to the visual pathway,,Y2S2,n,,,
Demonstrate how to localise a lesion by mapping visual field deficits to the neuroanatomy of the visual pathway,,Y2S2,n,,,
Identify the neuroanatomy that enables the pupillary and accommodation reflexes,,Y2S2,n,,,
Understand the fundamental organisation of cerebellar inputs and outputs,,Y2S2,n,,,
Understand the applied anatomy that relates to a cerebellar examination,,Y2S2,n,,,
Describe the mechanisms of action of various anti-depressants / anti-manic drugs,,Y2S2,n,,,
Compare and contrast between the different classes of antidepressants / anti-manic drugs,,Y2S2,n,,,
Identify an example drug from each the different classes of antidepressants / anti-manic drugs,,Y2S2,n,,,
Describe the mechanisms of action of various anti-psychotic drugs,,Y2S2,n,,,
Compare and contrast between the different classes of anti-psychotic drugs,,Y2S2,n,,,
Identify an example drug from typical and atypical anti-psychotic families,,Y2S2,n,,,
"Describe the functional organisation of upper and lower motor neurons, and the clinical signs of lesions of these neurons",,Y2S2,n,,,
Describe the major cortical areas involved in motor control,,Y2S2,n,,,
Describe the major functional subdivisions of the cerebellum and their association with common movement disorders,,Y2S2,n,,,
Describe the functional circuitry within the basal ganglia and its relationship to common movement disorders,,Y2S2,n,,,
Describe the course of the internal carotid arteries and identify their major branches,,Y2S2,n,,,
Describe the course of the vertebral arteries and identify their major branches,,Y2S2,n,,,
"Identify the arterial circle, basilar artery and its main branches",,Y2S2,n,,,
"Understand the vascular territory and CNS tissues innervated by the anterior cerebral, middle cerebral, posterior cerebral, anterior choroidal, basilar, and vertebral arteries",,Y2S2,n,,,
Understand the connections between the cortex (upper motor neurons) and brain stem (lower motor neurons),,Y2S2,n,,,
Understand how the subcortical white matter is organised and how projection fibres pass though the internal capsule,,Y2S2,n,,,
Understand the key functions of the basal nuclei,,Y2S2,n,,,
Understand the anatomical basis for disorders / disease affecting the basal nuclei (Parkinson’s and Huntington’s),,Y2S2,n,,,
Describe the neurochemical deficits and pathology in Parkinson's Disease & Huntingdon's Disease,,Y2S2,n,,,
Describe the mechanisms of action of various drugs used in the treatment of Parkinson's Disease & Huntingdon's Disease,,Y2S2,n,,,
Compare and contrast between the different classes of drugs used in the treatment of Parkinson's Disease,,Y2S2,n,,,
Describe the locations and functions of the main language areas of the brain,,Y2S2,n,,,
Describe how language functions are lateralized in the brain,,Y2S2,n,,,
Describe how language functions are affected by damage to different areas of the brain,,Y2S2,n,,,
Describe the structure and function of the vestibular system,,Y2S2,n,,,
Explain how positional signals are detected and transduced by vestibular hair cells,,Y2S2,n,,,
Outline the major neural connections of the vestibular system and explain how these pathways integrate vestibular inputs with other sensory systems to maintain balance,,Y2S2,n,,,
Outline the motor responses that maintain gaze stabilization and posture,,Y2S2,n,,,
"Relate vestibular physiology to common clinical disorders, including those affecting balance",,Y2S2,n,,,
"Understand what sleep is, and how much of it we need",,Y2S2,n,,,
Describe how we measure sleep,,Y2S2,n,,,
Know what the main sleep-related breathing disorders are,,Y2S2,n,,,
Know what the main sleep-related movement disorders are,,Y2S2,n,,,
"Describe the various options for treating anxiety, highlighting any side effects or concerns",,Y2S2,n,,,
Describe the potential mechanism of action and side effects of the various drugs for sedation and general anaesthesia,,Y2S2,n,,,
Understand the concepts and use of anti-epileptic agents,,Y2S2,n,,,
Describe the potential sites and mechanism(s) of action of anti-epileptic agents,,Y2S2,n,,,
Compare and contrast the properties and uses of different types of anti-epileptic agents,,Y2S2,n,,,
Appreciate that pathogen invasion of CNS is actually quite rare but can be severe and life threatening to self limiting and mild,,Y2S2,n,,,
Describe meningitis and encephalitis and the major clinical features and outcomes of these types of infections,,Y2S2,n,,,
Appreciate the wide variety of organisms can cause CNS infections,,Y2S2,n,,,
Give examples of some key common bacterial and viral causes of acute meningitis,,Y2S2,n,,,
Relate how meningitis is diagnosed and managed,,Y2S2,n,,,
"Describe encephalitis and focal CNS infections, clinical features and outcomes of these types of infections",,Y2S2,n,,,
Appreciate that a wide range of viruses are the major causative agents for encephalitis and give examples,,Y2S2,n,,,
"Relate different types of microbes, bacterial, protozoan and helminths to presentations of focal CNS infections",,Y2S2,n,,,
Relate how encephalitis and focal infections of the CNS are diagnosed and managed,,Y2S2,n,,,
Understand the importance of sleep and the consequences of sleep loss,,Y2S2,n,,,
Understand the various stages of sleep,,Y2S2,n,,,
Understand the various functions of sleep,,Y2S2,n,,,
Understand objective and subjective measurements of sleep,,Y2S2,n,,,
Understand the two-process model of sleep regulation,,Y2S2,n,,,
Understand neurobiological control of sleep and circadian rhythms,,Y2S2,n,,,
